;StationID;CutoffRigidity;sites_Precip;sites_Temperature;Bulkdensity;Altitude;beta;beta_sd;beta_mae;beta_rmse;beta_oulu;beta_apty;beta_lmks;beta_mxco;beta_athens;omega;omega_sd;omega_oulu;omega_apty;omega_mxco;omega_athens;omega_lmks;omega_mae;omega_rmse;psi;psi_sd;psi_oulu;psi_apty;psi_athens;psi_mxco;psi_lmks;psi_mae;psi_rmse;BetaDesilets;mean_N;mean_P;number_of_days_for_regression;Desilets_beta_eff;Desilets_beta
10;CBC001;8.37;338;9.8;1.482;1459;-0.006757507930662752;0.00039326025244323747;-0.006717774379646426;-0.006757507930662752;-0.00675879246774705;-0.006754184177265562;-0.006756714038798258;-0.006740606195283044;-0.006713318769883419;0.005640837500275151;0.004502336931347886;0.005130533577744362;0.0051113945705205995;0.004441889191642883;0.004320629999247528;0.0055554110917636216;0.0035797070429262464;0.005640837500275151;0.09361025115034888;0.3032375076168456;0.20925696178673472;0.2503520814099359;0.5726214565060361;0.3969485148878854;0.030478319584074938;0.1987075747431331;0.09361025115034888;;3825.554929917121;854.294321473546;988.0;-0.007104892211616673;-0.007191611675485194
11;CRC001;4.9;900;7.5;1.612;230;-0.006824324069205641;0.0004338487320832629;-0.006953237402270964;-0.006824324069205641;-0.007024353621444079;-0.007053025939087265;-0.007014123242853223;-0.0070655020260397315;-0.007060856187931713;-0.0007434916072148468;0.0014866822168319268;-0.0007326841427949429;-0.0007026381799123203;-0.000682887986445489;-0.0009668571785860666;-0.0006818601875279073;-0.0004529053633910655;-0.0007434916072148468;0.6436169561469468;0.21381201696962543;0.38229032565098364;0.3289542201403058;0.8143831006868374;0.7155401797412322;0.2690024552897085;0.5073373201724768;0.6436169561469468;;668.6770327334882;990.9745518685133;1662.0;-0.007247120795893134;-0.007265774433490987
12;CUC001;2.94;868;10.5;1.491;140;-0.007618764965463571;0.00020201811259645044;-0.007730747010455347;-0.007618764965463571;-0.0075804472009011175;-0.007574526881919752;-0.007581151667134808;-0.007600515129938803;-0.007666860596061791;-0.007521993941871092;0.0011298545758594227;-0.007484957521515806;-0.007464986465342972;-0.0075150711537421595;-0.007844032306405162;-0.007467874647107841;-0.007231278972291507;-0.007521993941871092;0.936192992588189;0.35752840658634216;0.6230346562935812;0.6210054030113433;0.8570191103817953;1.0908510778688112;0.2068525008794172;0.8090438524933847;0.936192992588189;;809.2309114476132;1002.2745493311932;1843.0;-0.00729101134797011;-0.007301518257154915
13;DEC001;2.79;550;7.5;1.43;129;-0.007336818946295866;0.00025374487225135174;-0.00734893244088414;-0.007336818946295866;-0.007165299896653049;-0.0071443958112065616;-0.007190355008659113;-0.007251571928768699;-0.00723234199009441;-0.006934299377298105;0.0008200670430794262;-0.0068387915378589;-0.0068439811280092905;-0.006908782522608166;-0.007056823350534186;-0.006836753969297528;-0.007061931511265582;-0.006934299377298105;0.5422315747237664;0.20299192546982942;0.8030527495711326;0.8399323661739752;0.953882259458039;0.9108762148366775;0.6094423716688718;0.5044295888780603;0.5422315747237664;;844.9291039460318;1003.1549494118008;2568.0;-0.007290884421839768;-0.007300791301397264
14;ELC001;1.61;800;12.0;0.997;95;-0.007277451034078618;0.00013587822191057756;-0.007317554143088368;-0.007277451034078618;-0.007299972145769198;-0.007287718951109975;-0.007283681410782946;-0.007290138052286248;-0.007298751826521888;-0.007564416440759809;0.0009982000734195964;-0.007532675043893123;-0.007430748839832821;-0.007553687367326418;-0.007553377027088557;-0.0074312654609842805;-0.007559472030789781;-0.007564416440759809;0.33330814329787917;0.17221569450152532;0.9133990057655738;0.6452968506374906;0.8274228915646705;1.137546583887281;0.35597907433787984;0.3406276250714273;0.33330814329787917;;1827.3413621750306;999.847070144605;1834.0;-0.007279058845859132;-0.007294448397305149
15;ESC001;4.25;2062;4.3;0.567;1267;-0.007282845620784245;0.0001576717574633224;-0.0071503725218435175;-0.007282845620784245;-0.007310767007901024;-0.007327244343863612;-0.007282200379714281;-0.007337053904136135;-0.007333056059878784;-0.006902814695277095;0.0005367223920560863;-0.006709057841361781;-0.006753963885669024;-0.006548716323112177;-0.006443477898851729;-0.006609004362720281;-0.007230006315366651;-0.006902814695277095;0.5880412198601132;0.11747388316104337;0.42720157526806346;0.39462862078176825;0.7472394069377655;1.0809096413309154;0.24358080106873062;0.6045402691404113;0.5880412198601132;;2868.3447912438355;874.281254110694;1358.0;-0.0073492759697535845;-0.00741619462496664
16;EUC001;2.69;600;10.0;1.214;18;-0.00679367246574072;0.00025231759092135856;-0.00709581047809288;-0.00679367246574072;-0.006882902141685017;-0.006879769998305255;-0.006879751785848181;-0.006884341652972758;-0.006867473079390072;-0.006447460975360762;0.0012177295934565188;-0.006375795985277522;-0.006325315782591972;-0.006584604337084206;-0.006330341699821346;-0.006434555681444956;-0.006910646844741664;-0.006447460975360762;0.7464128685232989;0.22294303458794962;0.7704709331382218;0.5507748085819262;0.9560193132890141;1.1650592009462175;0.27351726864551335;0.49506846224919693;0.7464128685232989;;1950.1113747640738;1013.5658023113766;1869.0;-0.007280946137366092;-0.0072810422536202235
17;FEC001;4.08;1630;8.4;0.725;595;-0.007378520593938142;0.00022717511936411837;-0.007386918479072035;-0.007378520593938142;-0.007461899329553376;-0.007459515520120135;-0.007421356574133817;-0.007461878438367646;-0.007462814359936703;-0.006151196658501311;0.0007975853081893475;-0.006236260321338996;-0.006123394863841092;-0.006114890314600312;-0.005877851253517787;-0.006096179768861934;-0.006514647430675372;-0.006151196658501311;0.6774963011855667;0.12405883513893937;0.6261343612834079;0.5382434208158008;0.8569431323101815;0.987171643086669;0.35602410047504834;0.6093674979186764;0.6774963011855667;;1934.2588738020117;948.4387898729836;2032.0;-0.007311581633023918;-0.007357187903278852
18;FIC001;2.65;613;10.5;1.283;15;-0.007063031242641419;0.00015564982590527614;-0.007212381482354988;-0.007063031242641419;-0.0070971106751780205;-0.007088932857972756;-0.007087071823899341;-0.007101284623319581;-0.007097652544351252;-0.007602182767526187;0.0008372743504820087;-0.007425437132633555;-0.007310241598630732;-0.007506885094162422;-0.007405272478357878;-0.007372298209288419;-0.0077327460843252096;-0.007602182767526187;0.4775505818699841;0.1753076745899468;0.6103975059696841;0.48905948972622754;0.5556593997834394;1.0953689382480352;0.24712160227325936;0.43514865332908037;0.4775505818699841;;1783.901188667251;1012.7213834581902;1475.0;-0.007281730734672059;-0.0072826718805190215
19;FSC001;2.51;580;9.7;1.135;66;-0.006903865667340938;0.0003850021115841704;-0.007139713254908033;-0.006903865667340938;-0.00681952726494766;-0.0068001480070286205;-0.00677964522416874;-0.006855071081971823;-0.00693578822925594;-0.004753120200670796;0.0026490612547483655;-0.0045961429374074434;-0.004635709594637915;-0.004682550000482592;-0.00514203514065586;-0.004442809752887115;-0.005277665407186033;-0.004753120200670796;0.8034195793360217;0.27025243248776065;1.0164354216444014;0.7821563663210774;1.2347284274258228;1.5149206962581117;0.6494027658592778;0.5011765994239354;0.8034195793360217;;805.6336429276006;1008.6865828348928;1678.0;-0.007285251759251034;-0.0072902224234123476
20;GBC001;2.85;845;9.9;1.176;80;-0.007451833841030994;0.0001764592877148456;-0.007506960149702592;-0.007451833841030994;-0.007407677588895333;-0.007418585536522967;-0.0073747228446289954;-0.007438465418599103;-0.007483077942174443;-0.00601687945166193;0.0012032813381978214;-0.005905197616313464;-0.0059283589484217065;-0.005835499798006855;-0.00577695047309781;-0.005770000280764829;-0.006388545806728939;-0.00601687945166193;0.6447083848251484;0.20106744200376317;0.8077858266497094;0.6695477613336123;0.8395863750965756;1.2043127517764964;0.4883542163696365;0.5011232015453979;0.6447083848251484;;567.644433577398;1006.7449763785385;2575.0;-0.007287305739438602;-0.007293852588861473
21;GLC001;1.87;1050;8.2;0.814;86;-0.006797892618322179;0.00022257829304795105;-0.006860436490113991;-0.006797892618322179;-0.006733866764637137;-0.006712098946785664;-0.006720511861719868;-0.006769309165481575;-0.006781026409159689;-0.005709297594694317;0.0008562625648060163;-0.005253477340729812;-0.005288399018541117;-0.0056217632619291;-0.005448772291393533;-0.005246922284130102;-0.005663691649458295;-0.005709297594694317;0.5096314666139445;0.24934173872313214;0.9540761155130697;0.8371533756560211;1.1575675547935322;1.3256957839094234;0.48389099391311335;0.4994022013824929;0.5096314666139445;;848.0393443031259;1008.4174280171088;2690.0;-0.007276746923927661;-0.00728260027126605
22;GRC001;4.23;1948;5.4;0.69;863;-0.007496553053967335;0.0001861025825783484;-0.00738713869287092;-0.007496553053967335;-0.0075567777342163715;-0.007560063256544289;-0.007520433443393861;-0.0075533181943680935;-0.0075725600272150174;-0.006730852733597478;0.0007692791041612885;-0.0069098124478601305;-0.006951082525583967;-0.00676268859205757;-0.006402878004968767;-0.006759542673674535;-0.007237646107954029;-0.006730852733597478;0.6074658689401908;0.14597491665887938;0.5186350858264059;0.4484974980764375;0.7790729040718315;0.9777295647476023;0.28808477968205626;0.6102520823595602;0.6074658689401908;;2306.809939571099;918.1957916251183;1371.0;-0.007326196749255857;-0.007383957908208487
