;StationID;CutoffRigidity;sites_Precip;sites_Temperature;Bulkdensity;Altitude;beta;beta_sd;beta_mae;beta_rmse;beta_oulu;beta_apty;beta_lmks;beta_mxco;beta_athens;omega;omega_sd;omega_oulu;omega_apty;omega_mxco;omega_athens;omega_lmks;omega_mae;omega_rmse;psi;psi_sd;psi_oulu;psi_apty;psi_athens;psi_mxco;psi_lmks;psi_mae;psi_rmse;BetaDesilets;mean_P;mean_N;number_of_days_for_regression;Desilets_beta_eff;Desilets_beta
28;HOC001;2.81;820;10.0;1.136;217;-0.00779916783185417;0.00016759660898055896;-0.007807743172047327;-0.00779916783185417;-0.00780143397793937;-0.007798036275754358;-0.007755154157474565;-0.007823327383662537;-0.007859216347577457;-0.002031373493419935;0.0008347159263393677;-0.0019856089008803463;-0.001977863886187871;-0.001930335417430495;-0.001784594614785335;-0.0018646938555788278;-0.00217877862990166;-0.002031373493419935;0.4169742214820988;0.2306828977213035;0.5791609658226995;0.5330590668940222;0.6647115016453014;1.0211667762916203;0.3997828239154127;0.5012501023662901;0.4169742214820988;;993.1152983765426;426.45739374173985;2399.0;-0.007300136656373721;-0.007318907139739133
29;JEC001;3.09;612;9.9;1.34;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;LBC001;2.8;576;9.2;1.454;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;LEC001;4.28;2155;4.0;1.12;1111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;LUC001;3.03;825;10.0;0.821;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;MEBCK001;3.09;718;10.3;1.31;91;-0.007415590902044737;0.00015702021014947867;-0.007454555436692028;-0.007415590902044737;-0.007438557882205755;-0.007436785699484618;-0.007424200949823611;-0.0074753283589853205;-0.007457878290793037;-0.0032785862910049784;0.0007209108472055845;-0.0032148492045527715;-0.003222777007528611;-0.003337938375021881;-0.003243403959410402;-0.0031704583755973927;-0.0034552276804164887;-0.0032785862910049784;0.4481637769475734;0.22882911780306878;0.7638074290371026;0.6801109105393418;0.8398293516145002;1.0587406456511972;0.3582209526651224;0.4979884076352565;0.4481637769475734;;1011.6117721481154;459.481466138658;3195.0;-0.007281155074554262;-0.007283022854016377
34;NOC001;3.15;1030;10.5;1.25;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;OLC001;7.36;544;16.2;1.426;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;PEC001;4.06;1065;10.0;1.317;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;RIC001;4.22;1460;7.1;0.964;755;-0.007235550075118792;0.00016410881295014207;-0.007319782728794389;-0.007235550075118792;-0.007341328280096664;-0.0073369313873612434;-0.007329337941567607;-0.007383483560588189;-0.00737782907354384;-0.003726827896455069;0.000490221035360469;-0.0036694531068174226;-0.00365580844986855;-0.003679040953638481;-0.0036815345950240563;-0.003634627834969375;-0.0038821105238663555;-0.003726827896455069;0.6271267514545019;0.14843673037103855;0.7597875316565665;0.6777405530285746;0.9948684320958595;1.063606781510237;0.28151833742808496;0.6648951376916186;0.6271267514545019;;929.4305921009613;872.4684955272293;3155.0;-0.0073195507795785686;-0.007373294653712798
38;ROC001;3.1;1018;7.0;1.032;515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;ROC002;3.19;1018;7.0;0.944;506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;RUBCDKR001;3.19;870;7.0;1.0;611;-0.007647456347350546;0.00019464524895032386;-0.007664131942148336;-0.007647456347350546;-0.007672381516252361;-0.007661682962040035;-0.007631356252048459;-0.007687200848879601;-0.007691706174158086;-0.004845583611709685;0.0009510768938885945;-0.004857832082055027;-0.004840864938552612;-0.004872104768111464;-0.0047661550836964285;-0.00479428188624531;-0.005397076797692137;-0.004845583611709685;0.2194003290145539;0.23262446343540139;0.6899272742166251;0.5593835537049823;0.7833007822530965;0.9535746449134234;0.4107048639745515;0.1726296817499707;0.2194003290145539;;944.5622473174491;608.7576505658998;1998.0;-0.007336391931079564;-0.007387965526175069
41;RUBCK002;3.04;718;10.3;1.318;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;RUBCK003;3.05;718;10.3;1.102;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;RUBCK004;2.98;722;10.3;1.126;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;RUC004;3.03;722;10.3;1.215;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;RUC005;3.22;857;8.0;0.959;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;RUC006;3.15;865;10.3;1.112;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;RUC007;3.09;614;9.0;1.019;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;RUC008;3.09;614;9.0;0.897;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;SAC001;1.31;2500;7.7;1.146;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;SCC001;2.91;951;9.9;1.185;425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;SCC004;2.91;951;9.9;1.01;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;SEC001;3.1;718;10.3;1.276;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;SHC001;2.9;815;9.5;1.335;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;SHC002;2.9;815;9.5;1.1;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;SHC003;2.9;815;9.5;1.048;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;TOC001;5.51;1028;13.6;1.354;188;-0.006857422560674525;0.00040639233138382115;-0.006894144462516033;-0.006857422560674525;-0.007063806331691228;-0.007054201132973562;-0.007019344545920572;-0.007027033794489999;-0.007046559646342865;-0.0011402085261978826;0.0015397002100055973;-0.0014231041681463917;-0.0013849501956281734;-0.000886905222344684;-0.0012747436074378453;-0.0008770559172678184;-0.0010203467562107502;-0.0011402085261978826;0.6547692371218968;0.2834071766605318;0.810652917375907;0.7793017465104204;0.9240246774210292;0.771556632922624;0.10506487618260263;0.7609043695599818;0.6547692371218968;;995.4075003089092;388.8037182454194;1575.0;-0.007211521630157973;-0.007227219498536516
57;VOC001;1.87;1050;8.2;1.388;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;WAC001;2.5;580;9.7;1.095;96;-0.0075838595424081385;0.00012318217287506168;-0.007651286586542695;-0.0075838595424081385;-0.0075277274524818945;-0.007535159418387538;-0.007512746412731591;-0.007590045226848841;-0.007568281967332208;-0.0020031031175645688;0.0006486202607755376;-0.0018611384802919239;-0.0018797015867879012;-0.0019286513344580682;-0.0021120368328070094;-0.0018366570165538015;-0.002086865093311842;-0.0020031031175645688;0.354458988129036;0.23605961858570873;0.6628225774462937;0.4871323993842245;0.8431803044426555;0.9817790443168906;0.40251465755940014;0.2852499187253218;0.354458988129036;;1006.2001984274922;580.2588965378958;1555.0;-0.0072876486943536985;-0.007295032979784209
59;WEC001;4.42;1547;-2.7;1.11;2464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;WUC001;3.28;1180;7.0;0.697;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;WUC002;3.28;1180;7.0;0.417;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;WUC003;3.28;1180;7.0;0.77;605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;ZEC001;2.81;847;10.4;1.408;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;ZUC001;3.12;1009;10.4;1.343;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
