Year	Month	Day	Hour	SWC_5cm
2019	11	22	13	0.28093919
2019	11	22	14	0.280748311
2019	11	22	15	0.27998267
2019	11	22	16	0.279164002
2019	11	22	17	0.278759564
2019	11	22	18	0.277692021
2019	11	22	19	0.277391796
2019	11	22	20	0.276668306
2019	11	22	21	0.276243923
2019	11	22	22	0.27594456
2019	11	22	23	0.275741212
2019	11	23	0	0.275399044
2019	11	23	1	0.275483494
2019	11	23	2	0.275333009
2019	11	23	3	0.274906988
2019	11	23	4	0.274847831
2019	11	23	5	0.274496756
2019	11	23	6	0.274578397
2019	11	23	7	0.274303345
2019	11	23	8	0.274076913
2019	11	23	9	0.274035559
2019	11	23	10	0.274071767
2019	11	23	11	0.273769733
2019	11	23	12	0.272630914
2019	11	23	13	0.270129936
2019	11	23	14	0.268568021
2019	11	23	15	0.266763222
2019	11	23	16	0.265576895
2019	11	23	17	0.264493835
2019	11	23	18	0.263815041
2019	11	23	19	0.264011408
2019	11	23	20	0.26386854
2019	11	23	21	0.263757739
2019	11	23	22	0.263525821
2019	11	23	23	0.263175564
2019	11	24	0	0.263059862
2019	11	24	1	0.26272992
2019	11	24	2	0.26254254
2019	11	24	3	0.263885505
2019	11	24	4	0.273232654
2019	11	24	5	0.285513829
2019	11	24	6	0.301882388
2019	11	24	7	0.314092759
2019	11	24	8	0.31335394
2019	11	24	9	0.314010131
2019	11	24	10	0.313803378
2019	11	24	11	0.313798723
2019	11	24	12	0.314703291
2019	11	24	13	0.314106965
2019	11	24	14	0.311681252
2019	11	24	15	0.306826358
2019	11	24	16	0.304315774
2019	11	24	17	0.299588424
2019	11	24	18	0.296004668
2019	11	24	19	0.293802521
2019	11	24	20	0.295794366
2019	11	24	21	0.301449063
2019	11	24	22	0.296792318
2019	11	24	23	0.294339664
2019	11	25	0	0.292993241
2019	11	25	1	0.291561527
2019	11	25	2	0.290221301
2019	11	25	3	0.289093425
2019	11	25	4	0.287790423
2019	11	25	5	0.286607503
2019	11	25	6	0.285897381
2019	11	25	7	0.284983353
2019	11	25	8	0.284617362
2019	11	25	9	0.284877853
2019	11	25	10	0.284380086
2019	11	25	11	0.283951414
2019	11	25	12	0.283084184
2019	11	25	13	0.281927624
2019	11	25	14	0.281324363
2019	11	25	15	0.280924941
2019	11	25	16	0.280574673
2019	11	25	17	0.279015494
2019	11	25	18	0.278369586
2019	11	25	19	0.277324727
2019	11	25	20	0.277017228
2019	11	25	21	0.276406334
2019	11	25	22	0.276284943
2019	11	25	23	0.275704927
2019	11	26	0	0.275503207
2019	11	26	1	0.274925011
2019	11	26	2	0.275086056
2019	11	26	3	0.27468974
2019	11	26	4	0.274682244
2019	11	26	5	0.274141854
2019	11	26	6	0.273829402
2019	11	26	7	0.27343749
2019	11	26	8	0.273120508
2019	11	26	9	0.273211667
2019	11	26	10	0.273652686
2019	11	26	11	0.272823448
2019	11	26	12	0.270991745
2019	11	26	13	0.268864417
2019	11	26	14	0.267478635
2019	11	26	15	0.266405686
2019	11	26	16	0.264659411
2019	11	26	17	0.264053205
2019	11	26	18	0.263572898
2019	11	26	19	0.263439908
2019	11	26	20	0.26335517
2019	11	26	21	0.263233971
2019	11	26	22	0.263423244
2019	11	26	23	0.263497162
2019	11	27	0	0.263094145
2019	11	27	1	0.263256056
2019	11	27	2	0.263061306
2019	11	27	3	0.265362652
2019	11	27	4	0.276373777
2019	11	27	5	0.281288028
2019	11	27	6	0.28481703
2019	11	27	7	0.282736998
2019	11	27	8	0.28163219
2019	11	27	9	0.281674907
2019	11	27	10	0.280715384
2019	11	27	11	0.279656151
2019	11	27	12	0.278577673
